	Accuracy	Classifier	F-Score	Precision	Recall	Time
0	0.5932138070577025	GaussianNB	0.5657192302039763	0.5945252638584164	0.5932138070577025	3.7786591729593764e-05
0	0.15052069531712153	MLPClassifier	0.043559499702663554	0.025972269957354792	0.15052069531712153	0.004551023463447474
0	0.8659781023407218	RandomForestClassifier	0.864029419322143	0.8700535105891622	0.8659781023407218	0.001777112300138792
0	0.8874882477494133	ExtraTreesClassifier	0.8861977757944017	0.8921898651399672	0.8874882477494133	0.0017730654000566162
0	0.532655684532991	SVC	0.47702278824307	0.5327102000602162	0.532655684532991	0.00040457427504881255
0	0.7630328147888965	KNeighborsClassifier	0.7561562061022026	0.7653665223390447	0.7630328147888965	0.00026317081311526936
0	0.7897315470615878	DecisionTreeClassifier	0.7886888233264094	0.7976111903835215	0.7897315470615878	1.7099423683186794e-05
