	Classifier	Accuracy	Precision	Recall	F-Score	Time
0	MLPClassifier	0.15365773469209087	0.023898953778790907	0.15365773469209087	0.04130197498667921	0.004053403473994912
0	ExtraTreesClassifier	0.7473053117949269	0.756135047363044	0.7473053117949269	0.7421774772094799	0.0013889938576004523
0	KNeighborsClassifier	0.6507307961962837	0.6626840454537511	0.6507307961962837	0.646685351074444	0.00025725457095238623
0	GaussianNB	0.5848078528936912	0.5892820700693037	0.5848078528936912	0.5531159937831731	4.315372017946823e-05
0	RandomForestClassifier	0.7430174674288071	0.7530300663570608	0.7430174674288071	0.7382360344927058	0.001324363457046986
0	DecisionTreeClassifier	0.6251270475983163	0.6352255505997896	0.6251270475983163	0.6235960935105114	1.5636810618136215e-05
0	SVC	0.3502909292810863	0.26421342876721965	0.3502909292810863	0.25767240550023773	0.0003840554039163661
