	Accuracy	Classifier	F-Score	Precision	Recall	Time
0	0.8402724802449966	DecisionTreeClassifier	0.8393127044248497	0.8532917564269019	0.8402724802449966	5.3711388313449464e-05
0	0.8790599909411466	RandomForestClassifier	0.8722111585332099	0.8804432850008832	0.8790599909411466	0.004659976232129194
0	0.869996670058965	ExtraTreesClassifier	0.8647909984204584	0.8808177294447849	0.869996670058965	0.004577008812458472
0	0.42978315781583815	GaussianNB	0.34591909337570587	0.381512183636641	0.42978315781583815	8.60154114941999e-05
0	0.48439665154951267	SVC	0.38919325881770617	0.4039348623430436	0.48439665154951267	0.0004353730680847322
0	0.8294449322458456	KNeighborsClassifier	0.8229020103219369	0.8408033531791472	0.8294449322458456	0.0005947071799537936
0	0.32086412458308367	MLPClassifier	0.16612809334570805	0.11461143941398748	0.32086412458308367	0.007949935538289767
