	Classifier	Accuracy	Precision	Recall	F-Score	Time	Window
0	ExtraTreesClassifier	0.8405287218418386	0.8281594225927782	0.8405287218418386	0.8194628923409122	0.00025389946191853074	10.0
0	ExtraTreesClassifier	0.846591976568715	0.8352629658199816	0.846591976568715	0.8273754886887642	0.00027413948452463305	20.0
0	ExtraTreesClassifier	0.8434644723465152	0.8359842968365377	0.8434644723465152	0.8254164888513057	0.00030349676813092843	30.0
0	ExtraTreesClassifier	0.8498052458393429	0.8425422944559935	0.8498052458393429	0.8310418937236852	0.0003343394926362853	40.0
0	ExtraTreesClassifier	0.8467212339776058	0.8317214656610773	0.8467212339776058	0.826848820188354	0.000367657161709057	50.0
0	ExtraTreesClassifier	0.845612807051656	0.8354447932570411	0.845612807051656	0.8266524080711618	0.0003904657282301732	60.0
0	ExtraTreesClassifier	0.8455199689938868	0.8392855347344903	0.8455199689938868	0.8266026764860512	0.0004478386373644057	70.0
0	ExtraTreesClassifier	0.8512347814056447	0.8384255201873436	0.8512347814056447	0.8301317035125799	0.0004546560991670214	80.0
0	ExtraTreesClassifier	0.8407314052597071	0.8257559284886397	0.8407314052597071	0.8187643974351262	0.000475701253030482	90.0
0	ExtraTreesClassifier	0.8506500512488536	0.8423562920642901	0.8506500512488536	0.8305792924260664	0.0005105382925279383	100.0
