	Classifier	Accuracy	Precision	Recall	F-Score	Time	Window
0	ExtraTreesClassifier	0.6233125620124532	0.6255605996151163	0.6233125620124532	0.6111702347998618	0.0003439644947965774	10.0
0	ExtraTreesClassifier	0.6581072309593904	0.6623098047250568	0.6581072309593904	0.6473050540041289	0.00036199950656700053	20.0
0	ExtraTreesClassifier	0.6862011380951349	0.6942997697582702	0.6862011380951349	0.6764913948533318	0.0003755842627131724	30.0
0	ExtraTreesClassifier	0.7069807439923246	0.7142597712780809	0.7069807439923246	0.696743771597964	0.00039806196644873973	40.0
0	ExtraTreesClassifier	0.7225893163581523	0.7322776397453364	0.7225893163581523	0.7144876153091612	0.000420552248404925	50.0
0	ExtraTreesClassifier	0.7361864039835462	0.7436339920732556	0.7361864039835462	0.7270552238465484	0.00044153405292266255	60.0
0	ExtraTreesClassifier	0.7501567398119122	0.7654413675800068	0.7501567398119122	0.7425281300142342	0.0004644050119812586	70.0
0	ExtraTreesClassifier	0.7653490295650835	0.7736549176542578	0.7653490295650835	0.7561583073172163	0.0005005992619716028	80.0
0	ExtraTreesClassifier	0.773111248133965	0.7854969344983801	0.773111248133965	0.7642180786281373	0.0005628319165209432	90.0
0	ExtraTreesClassifier	0.7720809381928352	0.7797962916344932	0.7720809381928352	0.7625931474375705	0.000568826418074806	100.0
