	Classifier	Threshold	Accuracy	Precision	Recall	F-Score	Time	Discarteds	Len Activities
0	ExtraTreesClassifier	0.05	0.8159386324352224	0.8227974166672498	0.8159386324352224	0.8055319131304952	0.0009610639362041206	0.0	8.333333333333334
0	ExtraTreesClassifier	0.1	0.8159386324352224	0.8227974166672498	0.8159386324352224	0.8055319131304952	0.0009572681588038056	0.0	8.333333333333334
0	ExtraTreesClassifier	0.15000000000000002	0.8159386324352224	0.8227974166672498	0.8159386324352224	0.8055319131304952	0.0009524734041257898	0.0	8.333333333333334
0	ExtraTreesClassifier	0.2	0.8164607302865209	0.8236088169039789	0.8164607302865209	0.8061061919710395	0.0009553644879356001	0.0	8.333333333333334
0	ExtraTreesClassifier	0.25	0.8201032064494942	0.8275982562977523	0.8201032064494942	0.8097527286028038	0.0009589869215186361	0.0	8.333333333333334
0	ExtraTreesClassifier	0.3	0.8285208895432709	0.8363308991489216	0.8285208895432709	0.8184027403280102	0.0009573292153411665	0.0	8.333333333333334
0	ExtraTreesClassifier	0.35000000000000003	0.843547240847193	0.8511666208247087	0.843547240847193	0.8335736755486953	0.0009448223837305676	0.0	8.333333333333334
0	ExtraTreesClassifier	0.4	0.8616654453289141	0.8702164434009497	0.8616654453289141	0.8527892208514041	0.000932586411673082	0.0	8.316666666666666
0	ExtraTreesClassifier	0.45	0.883612092855308	0.8885438487524167	0.883612092855308	0.87435448926119	0.0009172275140205319	0.0	8.316666666666666
0	ExtraTreesClassifier	0.5	0.9025773179851646	0.9055485470748528	0.9025773179851646	0.8931447187314079	0.0009056574728694114	0.0	8.283333333333333
0	ExtraTreesClassifier	0.55	0.9204544281092332	0.9232667310055035	0.9204544281092332	0.9118304447881783	0.0008968992164587913	0.0	8.25
0	ExtraTreesClassifier	0.6000000000000001	0.9317852253216136	0.9348511647814511	0.9317852253216136	0.9235535017468576	0.0008801036009551754	0.0	8.2
0	ExtraTreesClassifier	0.6500000000000001	0.9436298037091541	0.9441204204539343	0.9436298037091541	0.9353074439369098	0.0008666581786626624	0.0	8.083333333333334
0	ExtraTreesClassifier	0.7000000000000001	0.9505438852657417	0.9524508998727484	0.9505438852657417	0.9434049581398937	0.0008523471878939259	0.0	7.95
0	ExtraTreesClassifier	0.7500000000000001	0.9561015746162733	0.9540327582686471	0.9561015746162733	0.9491861691238718	0.0008476925045096623	0.0	7.683333333333334
0	ExtraTreesClassifier	0.8	0.9650803131646026	0.9657747042217253	0.9650803131646026	0.9597511684206138	0.0008397167942049801	0.0	7.383333333333333
0	ExtraTreesClassifier	0.8500000000000001	0.9692776343220832	0.9714451312341725	0.9692776343220832	0.9649440873323515	0.0008341423230172964	0.0	6.833333333333333
0	ExtraTreesClassifier	0.9000000000000001	0.9779287765978187	0.9775201347408147	0.9779287765978187	0.9741296795710388	0.000819567687177124	0.0	6.2
0	ExtraTreesClassifier	0.9500000000000001	0.9876716123965558	0.9851986224418479	0.9876716123965558	0.9844494508776691	0.0007983217559589736	0.0	5.2
