	Classifier	Threshold	Accuracy	Precision	Recall	F-Score	Time	Discarteds	Len Activities
0	ExtraTreesClassifier	0.05	0.7500508469562073	0.7368088424883626	0.7500508469562073	0.7281299711309509	0.001637671763704885	0.0	9.966666666666667
0	ExtraTreesClassifier	0.1	0.7500508469562073	0.7368088424883626	0.7500508469562073	0.7281299711309509	0.001645333911882851	0.0	9.966666666666667
0	ExtraTreesClassifier	0.15000000000000002	0.751114960884064	0.7378030193266514	0.751114960884064	0.7291715907239547	0.0016470661051339582	0.0	9.966666666666667
0	ExtraTreesClassifier	0.2	0.7587442833549372	0.7466039136000004	0.7587442833549372	0.737289970529647	0.00164716089260353	0.0	9.933333333333334
0	ExtraTreesClassifier	0.25	0.7751404625659452	0.7618316208172442	0.7751404625659452	0.7546904491519419	0.0016459446995847737	0.0	9.866666666666667
0	ExtraTreesClassifier	0.3	0.7978359014060397	0.7816451196711263	0.7978359014060397	0.7776567507760189	0.0016285941636432228	0.0	9.8
0	ExtraTreesClassifier	0.35000000000000003	0.8262430766796032	0.8120577089201199	0.8262430766796032	0.8084108808752517	0.0016163528131196898	0.0	9.466666666666667
0	ExtraTreesClassifier	0.4	0.8539924132568886	0.8384850820267049	0.8539924132568886	0.8377410650398772	0.0015926560103114767	0.0	9.2
0	ExtraTreesClassifier	0.45	0.8796684953006759	0.8685324916296148	0.8796684953006759	0.8655383054308665	0.0015663403097674663	0.0	8.733333333333334
0	ExtraTreesClassifier	0.5	0.9066474328358783	0.8979573956414824	0.9066474328358783	0.8936327244459676	0.0015177736101294925	0.0	8.233333333333333
0	ExtraTreesClassifier	0.55	0.9228731098850305	0.904409742426845	0.9228731098850305	0.9083284089402089	0.0015049980796172716	0.0	7.8
0	ExtraTreesClassifier	0.6000000000000001	0.9397155665266588	0.9256720441165014	0.9397155665266588	0.9275884144086377	0.0014848746932010044	0.0	7.2
0	ExtraTreesClassifier	0.6500000000000001	0.9543628100537329	0.9422242947091213	0.9543628100537329	0.9439564779625523	0.0014788504938081175	0.0	6.533333333333333
0	ExtraTreesClassifier	0.7000000000000001	0.9723217570968843	0.9574694785593657	0.9723217570968843	0.963263110214829	0.0014631879494271917	0.0	6.066666666666666
0	ExtraTreesClassifier	0.7500000000000001	0.9772899883099658	0.9637699806408644	0.9772899883099658	0.9691783541066241	0.0014524328782072387	0.0	5.333333333333333
0	ExtraTreesClassifier	0.8	0.9859610696130304	0.9779671884185773	0.9859610696130304	0.9807989728456233	0.0014454674692179865	0.0	4.533333333333333
0	ExtraTreesClassifier	0.8500000000000001	0.9937944305155746	0.9890210644247004	0.9937944305155746	0.9910998083576388	0.0014295291764575776	0.0	3.9
0	ExtraTreesClassifier	0.9000000000000001	0.993003300330033	0.9882363236323632	0.993003300330033	0.9901735139031145	0.0014173677694789897	0.0	3.166666666666667
0	ExtraTreesClassifier	0.9500000000000001	0.9993506493506493	0.9987193362193363	0.9993506493506493	0.9990305469178709	0.0012259804904357274	0.0	2.35
